Total signal evaluations on June 26: 210

Time (UTC)           | Coin | Sent | Sent Score | Conf   | Source          | Missed Reason        | Matched Event                                     
2026-06-26 10:40:50  | XRP  | DOWN | 0.9767     | 0.9767 | EnsembleML      | N/A                  | XRP Up or Down - June 26, 6:40AM-6:45AM ET        
2026-06-26 10:45:08  | DOGE | UP   | 0.8000     | 0.8000 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 10:45:09  | XRP  | UP   | 0.8767     | 0.8767 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 10:45:09  | SOL  | UP   | 0.8800     | 0.8800 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 10:45:09  | BTC  | UP   | 0.8000     | 0.8000 | EnsembleML      | N/A                  | Bitcoin Up or Down - June 26, 6:45AM-7:00AM ET    
2026-06-26 10:45:09  | ETH  | UP   | 0.8000     | 0.8000 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 10:45:16  | BTC  | UP   | 0.8000     | 0.8000 | EnsembleML      | N/A                  | Bitcoin Up or Down - June 26, 6:45AM-6:50AM ET    
2026-06-26 10:55:24  | BTC  | UP   | 0.8088     | 0.8088 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 11:00:09  | DOGE | UP   | 0.8800     | 0.8800 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 11:00:09  | SOL  | UP   | 0.8500     | 0.8500 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 11:00:09  | XRP  | UP   | 0.7467     | 0.7467 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 11:00:09  | BTC  | UP   | 0.8500     | 0.8500 | EnsembleML      | N/A                  | Bitcoin Up or Down - June 26, 7:00AM-7:15AM ET    
2026-06-26 11:00:11  | ETH  | UP   | 0.7467     | 0.7467 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 11:00:48  | BTC  | UP   | 0.9300     | 0.9300 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 11:15:09  | DOGE | UP   | 0.7500     | 0.7500 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 11:15:09  | SOL  | UP   | 0.7200     | 0.7200 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 11:15:09  | BTC  | UP   | 0.8500     | 0.8500 | EnsembleML      | N/A                  | Bitcoin Up or Down - June 26, 7:15AM-7:30AM ET    
2026-06-26 11:15:09  | XRP  | UP   | 0.8767     | 0.8767 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 11:15:09  | ETH  | UP   | 0.7767     | 0.7767 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 11:30:09  | BTC  | UP   | 0.8000     | 0.8000 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 11:30:09  | DOGE | UP   | 0.8800     | 0.8800 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 11:30:09  | SOL  | UP   | 0.8500     | 0.8500 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 11:30:09  | XRP  | UP   | 0.7467     | 0.7467 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 11:30:25  | ETH  | UP   | 0.8767     | 0.8767 | EnsembleML      | N/A                  | Ethereum Up or Down - June 26, 7:30AM-7:45AM ET   
2026-06-26 11:45:08  | DOGE | UP   | 0.7500     | 0.7500 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 11:45:09  | ETH  | UP   | 0.6467     | 0.6467 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 11:45:09  | BTC  | UP   | 0.7200     | 0.7200 | EnsembleML      | N/A                  | Bitcoin Up or Down - June 26, 7:45AM-8:00AM ET    
2026-06-26 11:45:09  | SOL  | UP   | 0.8000     | 0.8000 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 11:45:09  | XRP  | UP   | 0.8267     | 0.8267 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 12:00:09  | BTC  | UP   | 0.6700     | 0.6700 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
